#Archive/File	Name	Time	Size	Type
Archive	GSE136666_RAW.tar	09/03/2020 18:16:56	3921920	TAR
File	GSM4054763_Counts_SN_C1.txt.gz	08/30/2019 07:55:05	247553	TXT
File	GSM4054764_Counts_SN_C2.txt.gz	08/30/2019 07:55:05	239133	TXT
File	GSM4054765_Counts_SN_C3.txt.gz	08/30/2019 07:55:05	243473	TXT
File	GSM4054766_Counts_SN_C4.txt.gz	08/30/2019 07:55:05	249669	TXT
File	GSM4054767_Counts_SN_C5.txt.gz	08/30/2019 07:55:05	237862	TXT
File	GSM4054768_Counts_SN_PD1.txt.gz	08/30/2019 07:55:05	246866	TXT
File	GSM4054769_Counts_SN_PD2.txt.gz	08/30/2019 07:55:06	237476	TXT
File	GSM4054770_Counts_SN_PD3.txt.gz	08/30/2019 07:55:06	244192	TXT
File	GSM4054771_Counts_SN_PD4.txt.gz	08/30/2019 07:55:06	247067	TXT
File	GSM4054772_Counts_SN_PD5.txt.gz	08/30/2019 07:55:06	247151	TXT
File	GSM4054773_Counts_Put_C1.txt.gz	08/30/2019 07:55:06	247078	TXT
File	GSM4054774_Counts_Put_C2.txt.gz	08/30/2019 07:55:06	248844	TXT
File	GSM4054775_Counts_Put_C3.txt.gz	08/30/2019 07:55:06	241774	TXT
File	GSM4054776_Counts_Put_PD1.txt.gz	08/30/2019 07:55:07	233936	TXT
File	GSM4054777_Counts_Put_PD2.txt.gz	08/30/2019 07:55:07	243835	TXT
File	GSM4054778_Counts_Put_PD3.txt.gz	08/30/2019 07:55:07	247482	TXT
