Gene_Symbol,GSM4054763_Counts_SN_C1,GSM4054764_Counts_SN_C2,GSM4054765_Counts_SN_C3,GSM4054766_Counts_SN_C4,GSM4054767_Counts_SN_C5,GSM4054768_Counts_SN_PD1,GSM4054769_Counts_SN_PD2,GSM4054770_Counts_SN_PD3,GSM4054771_Counts_SN_PD4,GSM4054772_Counts_SN_PD5
5S_rRNA,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7SK,0.5,3.130333333333333,0.16666666666666666,10.7035,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.5,0.33416666666666667,0.3333333333333333
A1BG,186.161,118.019,153.394,192.573,98.543,132.0,107.459,109.492,159.807,142.769
A1BG-AS1,104.092,76.144,107.999,129.648,61.0,117.01,52.211,70.439,130.249,91.999
A1CF,6.069,0.0,4.028,4.997,3.054,3.0,5.0,4.998,3.955,6.732
A2M,16819.878,6983.952,9059.719,12166.769,6380.335,9291.881,7721.823,11576.868,10176.922,10149.507
A2M-AS1,69.0,58.0,64.0,119.0,52.0,67.0,52.0,58.0,79.0,75.0
A2ML1,192.551,120.165,143.131,289.927,111.023,337.217,143.482,159.013,207.487,199.223
A2ML1-AS1,2.0,2.0,1.0,4.0,2.0,2.0,3.0,3.0,1.0,3.0
A2ML1-AS2,1.034,1.037,1.099,2.113,1.045,0.0,2.155,2.105,0.0,1.062
A2MP1,12.0,13.0,21.0,31.0,8.0,20.0,15.0,17.0,14.0,18.0
A3GALT2,0.0,0.0,0.0,5.0,2.0,2.0,6.0,5.0,2.0,3.0
A4GALT,235.999,133.0,161.0,283.999,105.0,138.0,259.0,147.0,160.0,246.0
A4GNT,2.0,0.0,2.0,4.0,1.0,1.0,0.0,1.0,0.0,1.0
AA06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAAS,1034.0,761.998,1046.0,1426.001,763.999,1384.0,635.0,994.001,1170.0,1033.999
AACS,831.609,422.615,583.447,967.916,589.752,832.084,326.006,702.683,701.088,553.447
AACSP1,4.0,0.0,5.0,5.0,5.0,5.0,2.0,3.0,5.0,2.0
AADAC,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AADACL2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
AADACL2-AS1,1.356,1.003,0.0,2.031,0.0,1.106,0.0,0.0,2.127,0.0
AADACL3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AADACL4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AADACP1,9.0,0.0,3.0,1.0,3.0,1.0,3.0,0.0,3.0,1.0
AADAT,387.999,211.016,284.003,445.56,200.829,419.001,107.994,377.002,449.012,350.588
AAGAB,1263.0,642.0,619.0,1299.0,728.0,1022.001,382.0,890.0,984.0,735.0
AAK1,3735.418,2226.295,2393.336,4857.948,2671.291,3946.43,1563.553,3009.615,3470.679,3350.379
AAMDC,487.973,380.157,448.207,533.983,299.232,521.231,313.608,368.051,492.84,418.228
AAMP,2632.002,1701.0,1818.001,3047.999,1520.002,2614.999,1343.002,1924.0,2338.999,1796.999
AANAT,6.0,2.0,7.0,9.0,3.0,4.0,2.0,9.0,2.0,6.0
AAR2,535.937,382.0,375.136,639.84,285.0,564.999,344.383,450.998,509.999,457.0
AARD,96.202,47.992,41.5,89.947,47.554,64.429,39.194,61.347,48.741,54.913
AARS1,7581.0,4719.0,5020.0,10314.999,5123.0,8659.162,4935.0,7252.036,7977.0,6127.0
AARS1P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AARS2,519.233,315.515,341.639,544.518,291.621,477.971,257.14,410.82,472.981,333.855
AARSD1,916.465,631.466,718.316,1136.082,616.551,841.255,358.666,649.932,817.343,567.383
AARSD1P1,16.759,12.437,2.732,7.98,6.719,32.818,6.393,6.675,4.668,8.066
AASDH,448.999,277.0,354.001,514.0,228.001,495.0,213.999,393.0,488.0,523.0
AASDHPPT,1916.0,1208.0,1165.0,2462.0,1174.0,2348.0,629.0,1827.001,2073.0,1935.0
AASDHPPT-AS1,1.0,1.0,4.0,3.0,0.0,2.0,2.0,1.0,2.0,3.0
AASS,1502.254,811.229,1132.076,1476.111,664.834,1227.733,295.514,1123.4,1526.019,1113.918
AATBC,9.0,2.0,6.0,7.0,4.0,10.0,5.0,14.0,10.0,6.0
ABAT,6695.432,5220.516,5638.712,8239.853,4361.519,8189.775,3203.56,4686.355,7619.495,6812.173
ABCA1,2686.001,1051.0,1376.0,1846.0,767.0,2093.0,916.0,2043.001,2249.0,1831.0
ABCA10,166.671,111.863,102.931,267.909,73.506,147.029,59.226,126.846,149.192,182.793
ABCA11P,179.237,91.651,121.265,172.614,78.578,161.061,24.6,126.519,167.941,128.491
ABCA12,3.0,1.0,1.0,5.0,1.0,11.0,0.0,5.0,8.0,0.0
ABCA13,14.793,27.736,25.508,83.801,16.397,19.42,17.274,27.162,31.091,45.648
ABCA15P,25.522,10.892,8.593,12.968,5.636,10.001,8.653,4.465,8.358,16.72
ABCA17P,93.503,63.018,78.072,142.647,63.031,111.882,101.824,68.999,89.024,115.0
ABCA2,35848.006,33193.0,39147.917,47670.153,26843.0,51774.999,21421.087,36768.162,44742.862,33155.058
ABCA3,3070.986,1768.984,2150.734,3609.702,2189.969,3309.0,1372.969,2401.986,2696.943,1788.999
ABCA3P1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCA4,13.0,13.0,5.0,20.0,4.0,11.0,10.0,6.0,11.0,7.0
ABCA5,1658.882,1075.981,1131.184,2078.385,1000.039,1652.027,523.0,1380.05,1886.429,1999.643
ABCA6,414.211,948.713,438.671,1010.884,367.571,1334.121,495.59,1582.858,995.894,950.882
ABCA7,562.998,325.001,420.001,787.0,342.0,630.999,377.001,564.0,452.0,408.0
ABCA8,3559.577,4030.72,3402.825,4987.063,2327.23,4681.102,2169.879,8250.457,6553.117,6599.229
ABCA9,567.192,662.365,545.677,1166.244,427.615,769.186,393.437,767.04,702.471,1076.498
ABCA9-AS1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.018,3.0,2.765
ABCB1,1980.542,1458.819,1891.684,2643.848,1199.701,1453.844,1801.903,1674.57,1575.601,2620.981
ABCB10,460.783,250.952,249.943,412.837,229.981,443.741,179.987,310.774,399.972,464.994
ABCB10P3,0.0,0.0,2.771,3.418,0.0,0.0,0.0,7.935,0.0,0.0
