Gene,ANOVA_score,ANOVA_pvalue,Mutual_information,LASSO_coefficient,LASSO_abs
C1DP1,29.355617529819117,0.0006322416531104492,0.511349206349206,0.9643458763021674,0.9643458763021674
LINC02397,27.81120732789215,0.0007519786557827461,0.6006349206349204,0.6340833793480991,0.6340833793480991
SCTR-AS1,18.642922033392722,0.0025538252234295587,0.511349206349206,-0.45423277666360784,0.45423277666360784
DOK7,21.237728347396576,0.0017361971057715008,0.4223015873015874,-0.171445807471263,0.171445807471263
EIF3CL,21.10506187490793,0.001769224109505996,0.4556349206349206,-0.0744961193187798,0.0744961193187798
RN7SL1,16.10136937392145,0.0038806891716033835,0.4913492063492062,0.04250348468838055,0.04250348468838055
ADRA1D,22.336852986568363,0.0014902284124203992,0.5056349206349204,0.0,0.0
OR7C1,14.157558546805479,0.00552333732193099,0.3863492063492062,0.0,0.0
TH,8.801621958402162,0.01795998729156038,0.3523015873015871,0.0,0.0
NTSR1,6.925310842863858,0.0301033781466151,0.3389682539682537,0.0,0.0
RN7SL2,17.723683759627928,0.002956070641214126,0.2973015873015872,0.0,0.0
CHST8,8.570256645131403,0.019070991533037245,0.2239682539682537,0.0,0.0
PCDH20,11.249097836469403,0.010021097049155691,0.4696825396825397,0.0,0.0
ABR,3.9277703249704494,0.08280994459514227,0.3687301587301586,0.0,0.0
LINC02623,11.350956212649447,0.009798385958116407,0.4830158730158729,0.0,0.0
SLC6A3,6.669298028537911,0.032489848285214944,0.13468253968253951,0.0,0.0
GABRD,14.277416416148187,0.005399336776999184,0.40563492063492057,0.0,0.0
MTCYBP18,5.624822309616431,0.04512857410143788,0.17289682539682527,0.0,0.0
TUBB3,6.246707573509956,0.03697996661186167,0.21384920634920612,0.0,0.0
DRD2,4.268234535782431,0.0726827114692544,0.007896825396825013,0.0,0.0
DDC,6.811840604972301,0.031132707903923362,0.15230158730158694,0.0,0.0
CA7,22.45894461419185,0.0014656771613445379,0.5623015873015871,0.0,0.0
SLC38A2,7.615276424260527,0.02469082208742942,0.22134920634920618,0.0,0.0
LINC02019,14.239990687260658,0.005437677525392202,0.4270634920634919,0.0,0.0
RN7SK,12.566523976108483,0.007565215127942892,0.44468253968253957,0.0,0.0
RNA5S2,6.463100677991968,0.03458871700291115,0.2463492063492061,0.0,0.0
TRDN,12.19929519088669,0.008165429518983114,0.4556349206349204,0.0,0.0
ANKHD1-EIF4EBP3,10.035133086103354,0.013237894600688348,0.2903968253968252,0.0,0.0
SOWAHA,10.54752735761261,0.011741516197703744,0.2770634920634918,0.0,0.0
RNU1-28P,9.296847739782953,0.015843326178969972,0.3496825396825396,0.0,0.0
EN1,6.96016055566996,0.029795924169420864,0.041349206349206025,0.0,0.0
LINC01616,5.071162143743665,0.05440371108400827,0.2463492063492061,0.0,0.0
SLC18A2,5.272412895915666,0.0507732022897977,0.03063492063492057,0.0,0.0
P2RX6,5.129507419747242,0.053317964666587205,0.13623015873015865,0.0,0.0
ALDH1A1,3.2684904355773425,0.10823828643671474,0.0,0.0,0.0
RMRP,8.511158242355432,0.019368583945200198,0.3496825396825396,0.0,0.0
OR7A5,7.783022756360846,0.02356532693884208,0.13968253968253963,0.0,0.0
AGTR1,3.8640448824227196,0.08490415854523367,0.09039682539682525,0.0,0.0
CCDC144NL,5.46778226303773,0.047539539802639155,0.18896825396825379,0.0,0.0
DNAH17-AS1,5.357671983242897,0.04932858087975641,0.18468253968253956,0.0,0.0
ZNF534,8.918201672048138,0.017431093308546277,0.1530158730158726,0.0,0.0
SLC10A4,3.970350115317038,0.08144773738790125,0.0,0.0,0.0
ESM1,2.6981883436874523,0.13908738530353282,0.0,0.0,0.0
