Gene,Selections,Frequency_%
C1DP1,300,100.0
LINC02397,200,66.66666666666666
DOK7,200,66.66666666666666
RMRP,200,66.66666666666666
CA7,200,66.66666666666666
SCTR-AS1,100,33.33333333333333
EIF3CL,100,33.33333333333333
RN7SL2,100,33.33333333333333
SOWAHA,100,33.33333333333333
RN7SL1,100,33.33333333333333
ADRA1D,100,33.33333333333333
TRDN,100,33.33333333333333
NTSR1,0,0.0
OR7C1,0,0.0
TH,0,0.0
SLC6A3,0,0.0
GABRD,0,0.0
CHST8,0,0.0
PCDH20,0,0.0
TUBB3,0,0.0
MTCYBP18,0,0.0
DDC,0,0.0
DRD2,0,0.0
SLC38A2,0,0.0
LINC02019,0,0.0
ABR,0,0.0
LINC02623,0,0.0
RNA5S2,0,0.0
RN7SK,0,0.0
RNU1-28P,0,0.0
ANKHD1-EIF4EBP3,0,0.0
LINC01616,0,0.0
SLC18A2,0,0.0
P2RX6,0,0.0
EN1,0,0.0
ALDH1A1,0,0.0
OR7A5,0,0.0
AGTR1,0,0.0
CCDC144NL,0,0.0
DNAH17-AS1,0,0.0
ZNF534,0,0.0
SLC10A4,0,0.0
ESM1,0,0.0
