Geneid	011_PD	012_PD	015_PD	016_PD	022_PD	024_PD	028_PD	031_PD	045_PD	049_PD	050_PD	051_PD	021_CC	023_CC	025_CC	026_CC	027_CC	029_CC	030_CC	036_CC	038_CC	039_CC	040_CC	041_CC	043_CC	047_CC
ENSG00000223972	4	2	8	0	2	4	2	0	5	2	2	2	0	0	2	8	0	0	2	0	6	2	0	3	0	2
ENSG00000227232	78	90	130	141	246	178	79	176	214	116	245	177	252	90	225	129	194	347	220	99	100	98	199	124	185	121
ENSG00000243485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237613	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238009	2	2	0	0	1	0	0	0	2	0	0	1	0	0	0	2	0	0	2	0	0	0	4	2	0	0
ENSG00000239945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233750	5	11	13	16	22	11	50	15	22	10	21	13	7	25	17	6	12	14	13	1	4	6	21	8	12	16
ENSG00000237683	1421	983	1332	2755	4158	1626	3407	2574	3665	2894	2759	3014	1998	1786	2273	1299	1961	3825	2073	1131	942	1248	2271	1813	1838	2821
ENSG00000268903	11	14	15	36	53	21	46	47	45	36	40	28	18	12	19	17	14	56	37	15	12	15	37	28	27	37
ENSG00000269981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000239906	2	4	6	13	25	3	15	16	15	11	11	18	5	8	10	5	7	18	4	6	5	4	6	11	9	17
ENSG00000241860	59	71	76	169	166	103	257	169	104	95	54	88	56	104	86	31	45	88	53	43	38	41	140	104	91	45
ENSG00000222623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000241599	2	0	1	1	3	4	5	0	0	0	2	0	0	0	2	0	2	0	0	0	0	0	0	1	0	0
