Gene,LogFC,PValue,FDR,Importance
PTGDS,0.3753975714435249,1.22311404029633e-10,2.660884594664665e-06,0.0263129535993658
KIR2DL1,0.2310232387731599,9.570813530834438e-08,0.0002313478315147,0.0196028601622278
DGKK,0.2180995917512831,2.0887048085076405e-08,0.0001310722464949,0.0194303989626056
FAM102A,-0.1051192295613931,4.055485615958577e-06,0.0012273077485855,0.0193306928575001
CHST15,0.1396706165602408,6.538519833978629e-06,0.0014836144849855,0.0171928702183754
LAT2,0.1062566000209361,4.349752577628704e-06,0.0012619274687026,0.0169411552112428
KIR3DL1,0.2228075787710652,1.799605356145462e-06,0.0009694097634448,0.0160346904479727
KIR2DL3,0.2493906207474081,3.4149428194559915e-08,0.0001310722464949,0.0159190251061618
KIAA0319L,0.1962608081231023,2.5975666996093143e-08,0.0001310722464949,0.0151167742681855
TNFSF14,0.1648862660944203,1.2365560028246713e-06,0.0008677830916597,0.0141294042067755
LOC100130872,0.2137951219512217,3.8137774503893175e-06,0.0012024453396118,0.0140114855155685
LILRB1,0.2157334554590173,3.614955086048975e-08,0.0001310722464949,0.0136929918322471
CXCL16,0.1969769496493265,2.392489054412772e-06,0.0010251983809662,0.0132630399428154
GPX3,0.3024651313723439,1.7285115897947497e-06,0.0009694097634448,0.0127011970807709
MBOAT7,0.1867748665340745,6.137135535511563e-08,0.0001903822680201,0.0123769324669644
GNB2,0.2025365225583577,2.5182766708416424e-06,0.0010251983809662,0.0121297790907572
KIR3DL3,0.2482163090128759,2.3772702022990083e-06,0.0010251983809662,0.0121034651045758
DGKH,-0.079889952894379,3.4327260662967945e-06,0.0011511499559204,0.0117324111800759
IFITM3,0.1741280435465277,2.930064903260801e-07,0.0004249570798029,0.0116867458861064
SH2B2,0.2340833246100695,3.678964727834952e-07,0.0004701915155541,0.0116346470479075
P2RX1,0.2266598136710982,2.5387037126156403e-06,0.0010251983809662,0.0114515827438447
MGAT1,0.1650744896891023,1.887121088570629e-06,0.000977483792425,0.0112972842885835
PLAUR,0.1750013538504466,2.402075965249117e-06,0.0010251983809662,0.011251280816611
JARID2,0.1172947555741661,6.183858276598103e-06,0.0014783498550262,0.0111704997824671
EFHD2,0.2111256673296342,2.4214368743164315e-06,0.0010251983809662,0.0108651834555222
PLOD1,0.2002808751177633,4.725326717416621e-07,0.0005410499091442,0.0107400433721907
OS9,0.1591886841829772,2.837210280417541e-06,0.0010691115953967,0.0107100673205977
PLEKHG3,0.1238871820370555,1.6450696732539086e-06,0.0009672565065307,0.010670828211798
PPP4C,0.2069763006385407,3.542186321502369e-08,0.0001310722464949,0.0105580999911893
CUEDC1,0.1450514916780063,4.3680379200460175e-06,0.0012619274687026,0.0104634687984863
AMPD2,0.1902972260023023,4.083496615050834e-06,0.0012273077485855,0.0102281669406256
TYROBP,0.1846937297184148,1.8269731234769088e-06,0.0009694097634448,0.0101781062815627
HLA-C,0.1089258609860799,3.890345796357395e-07,0.0004701915155541,0.010132185388888
LRRC25,0.2812083115251749,7.000956764702456e-08,0.0001903822680201,0.0101013773227855
NACC2,0.2068424473987224,1.3918595051870934e-06,0.0009175728344044,0.009951330157783
CA4,0.2370536794724165,4.640895921567033e-06,0.0012943934714575,0.0099029097173077
MAST3,0.1919237935727018,2.4753003376905734e-06,0.0010251983809662,0.009864945833345
MMP9,0.3827957081545072,4.118293065812193e-06,0.0012273077485855,0.0098295391843222
