Gene,Importance
PTGDS,0.026312953599365897
KIR2DL1,0.01960286016222784
DGKK,0.019430398962605695
FAM102A,0.019330692857500126
CHST15,0.01719287021837548
LAT2,0.016941155211242807
KIR3DL1,0.016034690447972757
KIR2DL3,0.01591902510616189
KIAA0319L,0.015116774268185593
TNFSF14,0.014129404206775562
LOC100130872,0.01401148551556853
LILRB1,0.013692991832247111
CXCL16,0.013263039942815438
GPX3,0.012701197080770912
MBOAT7,0.01237693246696449
GNB2,0.01212977909075726
KIR3DL3,0.012103465104575823
DGKH,0.011732411180075994
IFITM3,0.011686745886106421
SH2B2,0.011634647047907527
P2RX1,0.011451582743844746
MGAT1,0.011297284288583568
PLAUR,0.011251280816611073
JARID2,0.011170499782467157
EFHD2,0.010865183455522268
PLOD1,0.010740043372190708
OS9,0.010710067320597724
PLEKHG3,0.010670828211798067
PPP4C,0.010558099991189316
CUEDC1,0.010463468798486388
AMPD2,0.010228166940625689
TYROBP,0.01017810628156278
HLA-C,0.010132185388888078
LRRC25,0.01010137732278557
NACC2,0.009951330157783026
CA4,0.009902909717307704
MAST3,0.009864945833345087
MMP9,0.009829539184322217
CST7,0.009745985727065266
ILK,0.009691054812259712
APOBR,0.00961839916506244
TPD52L2,0.009599764259131303
SH2D3C,0.009571272997357891
MYD88,0.009544927439688223
SLC11A1,0.009469952884660363
BCL2,0.009402510991098517
RAB3D,0.009348712112261933
IKBKG,0.009216085250518266
SIRPD,0.009200489310651611
NCF1,0.009169251520664461
TNFAIP2,0.009082605524905241
LTB4R,0.00903511764932456
IL17RA,0.00901357303080913
ABHD2,0.00900728520498157
ZBED1,0.008915562940025514
CMIP,0.008870885786512125
GRN,0.008825084065099853
LSP1,0.008794511851723627
LOC102724984,0.008748677661023647
ZYX,0.008726890635847376
PLIN3,0.008695310583220577
PSTPIP1,0.008693526939260404
RPS6KA1,0.008574925989840446
TRAFD1,0.008470403949896328
FES,0.008453905660203537
ADGRG3,0.008414400375508405
RNF19B,0.008390085415112207
SLC15A3,0.008259347207939782
LILRA2,0.008200291495505505
SIRPB1,0.00818657089143325
SLX1B-SULT1A4,0.008172448858946666
ATG13,0.008168903582649024
FCGRT,0.008132414528865217
TFE3,0.008123535692931588
PREX1,0.008049939251506561
UPF1,0.007998882226546229
IQSEC1,0.007913636739626594
NINJ1,0.007853757935391937
TLE3,0.007821589815215668
BRMS1,0.00776468768951266
AGTRAP,0.007719216052249441
CTSD,0.007661217099013787
MIR6837,0.0076225358796940534
PTPN6,0.0075600066907055615
GBAP1,0.007472503321276933
PILRA,0.007429097227917172
MYO1F,0.007423752070286179
KDM6B,0.007266455018389889
OSCAR,0.007237403444414922
GRK6,0.007014362666205999
IFITM2,0.006962227321009252
CTDSP1,0.006912597036189953
RHOG,0.006825277327735089
C15orf39,0.006662709604947193
SLC44A2,0.006627580308848779
SPI1,0.006617878026050939
S100A11,0.0059396906194916915
MGRN1,0.005933468347179798
FGR,0.005855352583754791
TFEB,0.0056090839087391915
