PTGDS,DGKK,KIAA0319L,KIR2DL3,PPP4C,LILRB1,MBOAT7,LRRC25,KIR2DL1,TNFAIP2,LSP1,ABHD2,RHOG,APOBR,IFITM3,ADGRG3,SH2B2,HLA-C,PLOD1,MGRN1,PLIN3,IKBKG,RAB3D,LOC102724984,TRAFD1,ZYX,TPD52L2,SLC15A3,ILK,C15orf39,TNFSF14,SH2D3C,NACC2,TLE3,AGTRAP,FCGRT,PLEKHG3,GPX3,KIR3DL1,PILRA,TYROBP,MGAT1,RPS6KA1,LILRA2,PTPN6,KIR3DL3,CXCL16,PLAUR,EFHD2,MAST3,SPI1,GNB2,P2RX1,RNF19B,TFE3,OS9,NCF1,UPF1,IFITM2,KDM6B,ZBED1,SIRPB1,CTSD,DGKH,FES,PREX1,MIR6837,S100A11,LOC100130872,SIRPD,FAM102A,AMPD2,MMP9,LAT2,CUEDC1,LTB4R,IQSEC1,CA4,CTDSP1,NINJ1,IL17RA,MYD88,SLC44A2,TFEB,GBAP1,MYO1F,FGR,OSCAR,CMIP,BCL2,JARID2,GRN,PSTPIP1,BRMS1,CHST15,CST7,SLC11A1,GRK6,SLX1B-SULT1A4,ATG13,Disease
7.511333333333333,4.876,6.991,5.615,8.85,7.9705,8.8295,8.408,7.167,8.0505,10.457,6.371666666666666,11.566,7.966,12.4,8.3475,8.949,12.829,6.849,8.384,8.611,8.235,6.4775,8.897,5.778,10.2805,8.704,6.969,8.949,6.580666666666667,6.393000000000001,7.252666666666666,5.231999999999999,7.5745,8.268333333333333,9.687,6.1135,4.6850000000000005,5.638,8.782499999999999,12.058,8.212,8.848,8.6005,10.895,6.201,6.194,6.652333333333334,9.2825,8.351,9.107,9.343,7.993,7.045,5.65025,8.536,10.533,6.383,12.6385,7.9718,5.6715,6.519333333333333,6.763,3.3496,7.828,9.286,7.998,11.529,6.6165,5.418,5.984999999999999,8.207,9.469,7.711,5.7685,6.443666666666666,8.2735,6.026,9.43,10.011,8.4625,10.812,8.356,7.788,6.3675,11.138,8.994,6.317,6.853000000000001,4.59125,6.269333333333333,9.339666666666666,8.864,7.365,7.047499999999999,9.692,6.022333333333333,8.488,7.877333333333333,7.251666666666668,CONTROL
7.451333333333333,4.835,8.057500000000001,6.335,9.564,7.9985,8.7985,8.738,7.821,8.793,10.625,7.441833333333334,11.608,8.355,12.342,8.912500000000001,8.279,13.10625,7.946,9.318,9.066,8.2485,7.1695,9.268,6.4085,10.5285,9.199,7.442,9.294,7.123,7.5435,7.684333333333334,6.4935,7.97675,8.478333333333333,10.233,6.434,5.6265,6.773,9.3715,12.109,8.98,9.246,8.96825,11.236,6.364,7.446,7.411333333333334,9.4835,8.985,9.204,9.576,8.87,8.1375,5.79375,9.051,10.934,6.933999999999999,12.89,8.6446,7.275499999999999,6.486,7.55,3.245,8.203,9.6575,8.56,11.632,7.6895,5.906,5.907500000000001,8.789,11.615,7.6715,7.0975,7.153,9.02,7.0585,9.879,9.801,9.159,11.165,9.208,8.193,7.1595,11.418,9.431,7.803,7.090333333333334,4.6610000000000005,6.629333333333334,9.760666666666667,8.992,7.763,7.444,10.389,6.520333333333333,8.68675,8.530666666666667,7.678333333333334,IPD
7.988333333333333,4.403,6.9510000000000005,5.451,9.398,7.9325,8.993,8.702,6.56,9.05,10.093,7.011,11.431,8.368,12.4,8.5565,8.681,12.49,6.9,8.467,8.998,8.0565,7.300499999999999,8.933,5.8715,9.8345,8.69,7.258,9.093,7.151,7.471500000000001,7.856000000000001,5.1505,8.22875,8.055,9.852,6.648,5.8365,5.718,8.548,11.844,8.586,8.935,8.43725,10.76,6.068,7.029,7.206333333333333,9.233,8.131,8.691,9.741,8.144,7.678,5.9635,9.026,10.559,6.812,12.819,9.2676,6.4825,6.166333333333334,7.092,3.2694,7.963,8.4725,8.081,11.837,7.963999999999999,5.302,6.2245,8.155,9.806,7.959999999999999,6.8615,6.222666666666666,8.1,7.005000000000001,9.555,9.551,8.6385,10.367,8.6735,8.2315,6.9935,11.124,8.521,6.891,7.414666666666666,4.8545,6.242,8.865,8.607,7.936,7.253,9.523,6.740166666666667,8.28025,8.138,7.483666666666667,IPD
7.2,4.775,7.7715,4.85,9.869,8.2875,9.751,9.204,6.745,8.85,10.815,7.209166666666667,12.031,8.34,13.091,9.5365,8.805,13.10175,7.541,9.394,9.565,7.975,7.336,9.294,6.23325,10.7385,9.659,7.62,9.276,7.321666666666666,7.439,7.788333333333334,6.5265,8.492249999999999,8.805333333333332,10.635,6.64575,6.053,5.745,9.7925,12.638,8.77,9.872,9.2725,10.895,5.415,8.016,7.890000000000001,10.2615,8.83,9.484,10.072,8.354,8.565999999999999,6.327999999999999,8.983,10.796,6.9125,13.343,9.150200000000002,6.3545,6.906666666666666,7.066,3.1404,7.651,9.973,8.281,12.474,7.308999999999999,6.207,5.549,9.205,10.641,8.552,6.482,7.247333333333334,9.006,6.8795,10.097,10.08,9.213,11.772,9.3875,8.2145,6.9425,11.166,10.012,7.224,6.748,4.699,6.678333333333334,9.367,9.0,7.737,7.683,10.766,7.0455000000000005,8.82475,8.036999999999999,7.542000000000001,CONTROL
7.015,4.3,7.789,5.476,9.406,7.984500000000001,9.519,8.994,7.05,8.706,10.47,7.0515,11.507,8.288,12.743,9.1445,8.63,13.05675,7.512,8.759,9.125,8.118,6.8585,9.229,6.39625,10.622,9.389,7.273,9.272,6.991333333333333,7.099,7.797,6.093999999999999,8.23625,8.247666666666667,10.01,6.7165,5.385,5.724,9.297,12.279,8.67,9.104,8.89625,11.126,5.408,7.656,7.605999999999999,9.671,8.721,9.249,9.96,8.223,8.021,6.00575,8.8345,10.624,6.9295,13.047,8.452,6.357,6.574666666666666,6.89,3.3492000000000006,8.068,9.6465,7.966,12.015,6.9655000000000005,5.69,5.9825,8.921,9.16,7.9125,6.372,6.785999999999999,8.782499999999999,6.2155000000000005,9.803,10.143,8.83325,11.561,9.208,7.894500000000001,6.902,11.138,9.646,7.445,7.067,4.38525,6.473333333333333,9.473333333333334,8.501,7.663,7.1175,9.77,6.669833333333334,8.6625,8.254,7.662,IPD
7.341666666666666,4.512,8.0905,5.516,9.654,8.2775,9.448,9.445,6.587,9.049,10.565,7.727833333333333,11.798,8.328,12.669,8.9535,8.525,13.09025,8.068,9.418,9.201,8.2005,7.0345,9.313,6.33775,10.4125,9.436,7.517,9.676,7.172666666666667,7.2705,7.887333333333333,6.4255,8.16625,8.588333333333333,10.339,6.52775,6.052,6.002,9.7455,12.264,8.933,9.328,9.31725,11.344,5.701,7.932,7.829333333333333,9.465,9.029,9.062,10.116,8.613,8.4225,6.181,9.02,11.064,7.1815,12.9945,8.8236,6.588,6.788666666666667,7.264,3.1862000000000004,8.132,9.683,8.383,12.15,7.3095,5.731,5.915500000000001,8.84,10.452,8.3535,6.5745000000000005,7.337333333333333,8.957,6.993,9.833,10.032,9.08375,11.564,9.209,8.0415,6.9855,11.345,9.572,7.552,7.390333333333333,4.5085,6.374333333333333,9.762333333333332,9.06,7.694,7.7145,9.993,6.700166666666667,8.723749999999999,8.179,7.62,IPD
7.676333333333335,4.744,7.8535,4.895,9.459,8.009,9.063,9.198,6.405,8.933,10.347,7.344,11.556,8.214,12.77,9.1395,7.897,13.07425,7.152,9.033,8.644,7.960500000000001,6.871,8.963,6.27125,9.998,9.488,7.011,9.413,6.908333333333334,7.489,7.674666666666667,6.9190000000000005,7.923,8.426666666666668,9.997,6.54,5.713,5.469,9.2635,12.417,8.541,9.449,8.8925,10.951,5.8,7.31,7.687666666666666,9.662,8.389,8.7,10.13,8.098,8.656500000000001,6.04275,8.9125,10.837,6.8925,13.1755,8.4946,6.877000000000001,6.566666666666666,6.47,3.4738,7.524,9.6795,8.02,11.968,7.1160000000000005,5.975,5.4605,8.788,10.404,7.93,6.3420000000000005,6.533,8.818000000000001,7.0335,9.632,10.067,9.00225,11.599,9.0795,7.941,6.833,11.298,9.859,7.222,6.691333333333333,4.91475,6.667666666666666,8.944333333333335,8.595,7.512,7.724,10.103,6.790166666666667,8.7305,8.375333333333334,7.401000000000001,IPD
6.972666666666666,4.436,8.058,5.394,9.384,8.134,9.4065,9.398,6.695,9.105,10.529,7.750166666666668,11.705,8.368,12.723,9.518,8.745,12.84425,7.509,9.24,8.98,8.2635,7.1525,9.331,6.3595,10.4135,9.035,7.413,9.114,7.404,7.1445,7.917666666666666,6.5545,8.5915,7.907333333333334,10.185,6.63325,5.438000000000001,6.004,9.3725,12.026,8.793,9.333,8.80025,11.141,5.949,7.872,7.533666666666666,9.5495,8.602,9.229,9.988,8.162,8.161,6.06575,9.0705,11.1,6.9305,12.972,8.9086,6.44,6.392333333333333,7.138,3.1186,8.173,9.4025,8.387,12.059,7.0025,5.935,5.8655,9.004,10.418,8.2045,6.647,6.903333333333333,8.970500000000001,6.8375,9.597,10.182,8.92975,11.381,9.07,8.263,6.8455,11.339,9.737,7.149,7.116333333333333,4.341,6.595666666666666,9.552333333333332,8.632,7.791,7.676,10.029,6.5968333333333335,8.624749999999999,8.234666666666667,7.533666666666666,IPD
7.616333333333333,3.898,8.1795,6.762,10.064,8.442499999999999,9.5955,9.428,7.847,8.974,10.909,7.738833333333333,11.777,8.463,12.86,9.8265,8.912,13.20375,7.525,9.443,9.527,8.2185,7.6455,9.444,6.3865,10.7245,9.527,8.053,9.908,7.464333333333333,7.859,7.894000000000001,6.9055,8.526,8.738666666666667,10.503,6.84875,5.44,6.607,9.8695,12.563,9.03,9.635,9.38225,11.442,6.419,8.447,7.675333333333334,9.782,9.142,9.247,10.158,9.118,8.958,6.261,9.007,11.021,7.4565,13.3165,8.8622,7.2525,7.092333333333333,7.184,2.9656,8.435,10.0745,8.484,12.029,7.554,6.283,5.8835,9.566,11.555,8.5745,6.601,7.177333333333333,9.1175,8.008,10.167,10.502,9.405,11.788,9.379,8.1775,7.279,11.301,9.934,7.99,7.196666666666666,4.5592500000000005,6.846,9.805,9.196,7.856,7.948499999999999,11.246,6.8405,8.9235,8.906,7.881333333333333,IPD
8.402666666666667,4.456,7.526999999999999,6.021,9.181,7.830999999999999,9.1195,9.306,6.971,8.339,11.08,7.506166666666666,11.844,8.044,12.927,8.138,8.201,12.87075,7.832,8.407,9.042,8.024000000000001,7.2165,9.147,6.0705,10.6765,8.728,7.206,9.855,7.208333333333333,7.1425,8.090333333333334,6.5395,8.04725,8.322333333333333,9.995,6.07075,5.804,7.03,9.3685,12.163,9.054,9.364,8.81425,11.152,6.624,7.652,7.687333333333334,9.78,8.17,10.372,10.231,8.194,9.104,5.96875,8.9835,10.542,7.0565,13.145,8.483,6.8485,6.575,7.21,3.4598,7.634,9.473,8.21,12.364,7.4915,6.085,5.9375,8.407,9.584,7.859500000000001,6.244999999999999,6.599333333333334,8.600999999999999,6.811,9.785,9.567,8.90375,11.426,8.765,7.762,7.1325,11.326,9.701,7.35,7.224,5.2135,6.651666666666667,9.542333333333334,8.684,7.633,7.4995,10.834,6.069333333333333,8.7005,8.145000000000001,7.548666666666667,IPD
