Gene,Coefficient,Abs_Coefficient
ENSG00000164821,0.1688773465185617,0.1688773465185617
TMLHE-AS1,0.1659983177407768,0.1659983177407768
ENSG00000197561,0.1616676669625972,0.1616676669625972
CHIT1,0.155192846799172,0.155192846799172
COL17A1,0.1532467996765963,0.1532467996765963
NXF3,0.1503466449203482,0.1503466449203482
ENSG00000250771,0.1488476945437246,0.1488476945437246
FIGN,0.1453535267069775,0.1453535267069775
CCDC150,0.1430395713381406,0.1430395713381406
CES3,0.1285003220734321,0.1285003220734321
SLC6A20,0.1223039888860272,0.1223039888860272
HTR3A,-0.1201771293404838,0.1201771293404838
GPR160P1,0.1177969247044519,0.1177969247044519
CD8B2,-0.1177661395475671,0.1177661395475671
TSIX,-0.1152399968411044,0.1152399968411044
COX20P1,-0.1119759342902553,0.1119759342902553
PCDHGA10,0.1114556736404783,0.1114556736404783
TPD52L1,0.1085863657821772,0.1085863657821772
NFIB,-0.1068995034815759,0.1068995034815759
PRR13P5,0.1047406224739771,0.1047406224739771
ENSG00000249309,0.1031685044751577,0.1031685044751577
LINC01281,-0.1029147133923621,0.1029147133923621
ENSG00000255328,-0.0991684621448136,0.0991684621448136
CEACAM6,0.0960284022496664,0.0960284022496664
ENSG00000272599,0.0918967384298034,0.0918967384298034
ENSG00000260923,0.0908536505010494,0.0908536505010494
SRPK2-AS1,0.090420885500636,0.090420885500636
LOC105374328,0.0898250099352706,0.0898250099352706
SMAD6,0.0894748202590565,0.0894748202590565
ENSG00000273112,0.0886699838547609,0.0886699838547609
LINC01881,0.0883858098212641,0.0883858098212641
ENSG00000225527,0.0881993858114782,0.0881993858114782
ENSG00000226524,0.0876700211701541,0.0876700211701541
ENSG00000176720,0.0875319668616103,0.0875319668616103
ENSG00000248516,-0.0873082506054535,0.0873082506054535
AP3S1P2,0.087190771339476,0.087190771339476
ENSG00000265218,0.0865296113077299,0.0865296113077299
ITPRIP-AS1,0.0855011282661592,0.0855011282661592
FSCN3,0.0854499434391152,0.0854499434391152
HOXA4,0.0852426207550438,0.0852426207550438
CASC8,0.0852315175563884,0.0852315175563884
WASHC2A,0.0851430937088467,0.0851430937088467
ENSG00000225489,0.0832098427772672,0.0832098427772672
ENSG00000231329,0.0830281597305438,0.0830281597305438
PALM,0.0806910538007148,0.0806910538007148
FTH1P4,0.0799062716860401,0.0799062716860401
ENSG00000242550,0.0781977610583494,0.0781977610583494
MTDHP3,0.0774377757250541,0.0774377757250541
LARP1P1,0.076858459600237,0.076858459600237
PSD2,0.0759911086905766,0.0759911086905766
NUTM2B,0.0755960915130551,0.0755960915130551
ENSG00000253854,0.0738774002700517,0.0738774002700517
CABP5,-0.0729638356554567,0.0729638356554567
IGLV1-36,-0.0728806064019071,0.0728806064019071
S100B,-0.0723425355750536,0.0723425355750536
SYDE2,0.0722858156122883,0.0722858156122883
ENSG00000273474,0.0717752606340868,0.0717752606340868
ENSG00000213058,0.0704703741209303,0.0704703741209303
ENSG00000237805,0.0682990968728256,0.0682990968728256
ARHGEF17,0.0672556954507245,0.0672556954507245
EPHX3,0.0660257139501963,0.0660257139501963
ENSG00000234972,0.0659662217846916,0.0659662217846916
PRG4,0.0653503201289479,0.0653503201289479
CORIN,0.0645348468112744,0.0645348468112744
LINC02212,0.064505097827427,0.064505097827427
TTTY10,0.0642872800023415,0.0642872800023415
ENSG00000204710,-0.063236807179335,0.063236807179335
BICDL2,0.0627580664708579,0.0627580664708579
ENSG00000224114,0.0615398074121448,0.0615398074121448
ENSG00000260695,0.0614818742848722,0.0614818742848722
FZD7,0.0613489672814447,0.0613489672814447
DTNA,0.0607312028742435,0.0607312028742435
COL23A1,0.0606537401047199,0.0606537401047199
ENSG00000239528,0.0604148572339868,0.0604148572339868
KRT17P8,0.0602563157657801,0.0602563157657801
HNRNPA1P52,0.0597667009898726,0.0597667009898726
CHRM5,0.059157114424301,0.059157114424301
SMARCE1P6,0.058975850496291,0.058975850496291
NCAPG,0.0589171018475625,0.0589171018475625
MTND2P28,-0.0585462194862503,0.0585462194862503
ENSG00000134184,0.0582139804260577,0.0582139804260577
ENSG00000272746,0.0581729297783712,0.0581729297783712
NUTM2E,-0.0578726749933383,0.0578726749933383
ENSG00000096006,0.0574949111794183,0.0574949111794183
ENSG00000266912,0.0570250753458643,0.0570250753458643
CXCL5,0.056878753431183,0.056878753431183
ENSG00000254859,0.0545490619536122,0.0545490619536122
ENSG00000104725,0.054124005026069,0.054124005026069
HBE1,0.0540119297520845,0.0540119297520845
