Gene,LogFC,FDR,Importance,Source
PTGDS,0.3753975714435249,2.660884594664665e-06,0.0263129535993658,GSE99039
KIR2DL1,0.2310232387731599,0.0002313478315147,0.0196028601622278,GSE99039
DGKK,0.2180995917512831,0.0001310722464949,0.0194303989626056,GSE99039
FAM102A,-0.1051192295613931,0.0012273077485855,0.0193306928575001,GSE99039
CHST15,0.1396706165602408,0.0014836144849855,0.0171928702183754,GSE99039
LAT2,0.1062566000209361,0.0012619274687026,0.0169411552112428,GSE99039
KIR3DL1,0.2228075787710652,0.0009694097634448,0.0160346904479727,GSE99039
KIR2DL3,0.2493906207474081,0.0001310722464949,0.0159190251061618,GSE99039
KIAA0319L,0.1962608081231023,0.0001310722464949,0.0151167742681855,GSE99039
TNFSF14,0.1648862660944203,0.0008677830916597,0.0141294042067755,GSE99039
LOC100130872,0.2137951219512217,0.0012024453396118,0.0140114855155685,GSE99039
LILRB1,0.2157334554590173,0.0001310722464949,0.0136929918322471,GSE99039
CXCL16,0.1969769496493265,0.0010251983809662,0.0132630399428154,GSE99039
GPX3,0.3024651313723439,0.0009694097634448,0.0127011970807709,GSE99039
MBOAT7,0.1867748665340745,0.0001903822680201,0.0123769324669644,GSE99039
GNB2,0.2025365225583577,0.0010251983809662,0.0121297790907572,GSE99039
KIR3DL3,0.2482163090128759,0.0010251983809662,0.0121034651045758,GSE99039
DGKH,-0.079889952894379,0.0011511499559204,0.0117324111800759,GSE99039
IFITM3,0.1741280435465277,0.0004249570798029,0.0116867458861064,GSE99039
SH2B2,0.2340833246100695,0.0004701915155541,0.0116346470479075,GSE99039
P2RX1,0.2266598136710982,0.0010251983809662,0.0114515827438447,GSE99039
MGAT1,0.1650744896891023,0.000977483792425,0.0112972842885835,GSE99039
PLAUR,0.1750013538504466,0.0010251983809662,0.011251280816611,GSE99039
JARID2,0.1172947555741661,0.0014783498550262,0.0111704997824671,GSE99039
EFHD2,0.2111256673296342,0.0010251983809662,0.0108651834555222,GSE99039
PLOD1,0.2002808751177633,0.0005410499091442,0.0107400433721907,GSE99039
OS9,0.1591886841829772,0.0010691115953967,0.0107100673205977,GSE99039
PLEKHG3,0.1238871820370555,0.0009672565065307,0.010670828211798,GSE99039
PPP4C,0.2069763006385407,0.0001310722464949,0.0105580999911893,GSE99039
CUEDC1,0.1450514916780063,0.0012619274687026,0.0104634687984863,GSE99039
AMPD2,0.1902972260023023,0.0012273077485855,0.0102281669406256,GSE99039
TYROBP,0.1846937297184148,0.0009694097634448,0.0101781062815627,GSE99039
HLA-C,0.1089258609860799,0.0004701915155541,0.010132185388888,GSE99039
