Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Regulation Of Intracellular Protein Transport (GO:0033157)	5/36	3.509350e-04	5.439492e-01	0	0	9.365337e+00	7.450041e+01	TENM1;IFI27;PDCD10;KIF20B;CEP290
GO_Biological_Process_2023	Regulation Of Protein Autophosphorylation (GO:0031952)	4/31	1.855255e-03	6.148641e-01	0	0	8.578608e+00	5.395715e+01	MOB1B;ERRFI1;GPNMB;PDGFC
GO_Biological_Process_2023	Regulation Of Amyloid-Beta Clearance (GO:1900221)	3/15	1.951980e-03	6.148641e-01	0	0	1.444485e+01	9.012015e+01	ROCK1;IFNG;CYP51A1
GO_Biological_Process_2023	Regulation Of Establishment Of Cell Polarity (GO:2000114)	3/17	2.844092e-03	6.148641e-01	0	0	1.238004e+01	7.257814e+01	SHTN1;ROCK1;KIF20B
GO_Biological_Process_2023	Embryonic Axis Specification (GO:0000578)	3/17	2.844092e-03	6.148641e-01	0	0	1.238004e+01	7.257814e+01	PTCH1;SMAD6;CXXC4
GO_Biological_Process_2023	Regulation Of Epidermal Cell Differentiation (GO:0045604)	3/18	3.369903e-03	6.148641e-01	0	0	1.155412e+01	6.577610e+01	ERRFI1;ROCK1;SGPP1
GO_Biological_Process_2023	Regulation Of Establishment Or Maintenance Of Cell Polarity (GO:0032878)	3/18	3.369903e-03	6.148641e-01	0	0	1.155412e+01	6.577610e+01	SHTN1;ROCK1;KIF20B
GO_Biological_Process_2023	Regulation Of Prostaglandin Biosynthetic Process (GO:0031392)	2/6	4.202887e-03	6.148641e-01	0	0	2.881672e+01	1.576846e+02	PTGS2;PIBF1
GO_Biological_Process_2023	Positive Regulation Of Intracellular Transport (GO:0032388)	4/39	4.356008e-03	6.148641e-01	0	0	6.615086e+00	3.596093e+01	TENM1;PDCD10;KIF20B;CEP290
GO_Biological_Process_2023	Positive Regulation Of Intracellular Protein Transport (GO:0090316)	7/126	6.087678e-03	6.148641e-01	0	0	3.420518e+00	1.744973e+01	TENM1;TCAF1;IFNG;PDCD10;KIF20B;ECT2;CEP290
GO_Biological_Process_2023	Positive Regulation Of Protein Transport (GO:0051222)	5/70	7.019228e-03	6.148641e-01	0	0	4.458807e+00	2.211168e+01	TENM1;PDCD10;KIF20B;CEP290;EXPH5
GO_Biological_Process_2023	Positive Regulation Of Smooth Muscle Cell Apoptotic Process (GO:0034393)	2/8	7.669170e-03	6.148641e-01	0	0	1.920919e+01	9.355925e+01	IFNG;E2F3
GO_Biological_Process_2023	Regulation Of Synapse Organization (GO:0050807)	3/25	8.694360e-03	6.148641e-01	0	0	7.875000e+00	3.736751e+01	TANC1;SLITRK4;MDGA1
GO_Biological_Process_2023	Regulation Of Keratinocyte Differentiation (GO:0045616)	3/26	9.705421e-03	6.148641e-01	0	0	7.532225e+00	3.491240e+01	ERRFI1;ROCK1;SGPP1
GO_Biological_Process_2023	Heterophilic Cell-Cell Adhesion Via Plasma Membrane Cell Adhesion Molecules (GO:0007157)	4/49	9.818900e-03	6.148641e-01	0	0	5.142445e+00	2.377582e+01	TENM1;ALCAM;VCAM1;CEACAM6
GO_Biological_Process_2023	Cellular Response To Cholesterol (GO:0071397)	2/10	1.204938e-02	6.148641e-01	0	0	1.440543e+01	6.365386e+01	GRAMD1C;PTCH1
GO_Biological_Process_2023	Protein Prenylation (GO:0018342)	2/10	1.204938e-02	6.148641e-01	0	0	1.440543e+01	6.365386e+01	PTAR1;CHML
GO_Biological_Process_2023	Neuron Projection Morphogenesis (GO:0048812)	7/146	1.311884e-02	6.148641e-01	0	0	2.925360e+00	1.267765e+01	SHTN1;ALCAM;ROCK1;SLITRK4;KIF20B;S100B;ZDHHC17
GO_Biological_Process_2023	Positive Regulation Of Phosphate Metabolic Process (GO:0045937)	3/30	1.441257e-02	6.148641e-01	0	0	6.415033e+00	2.719752e+01	ROCK1;IFNG;FZD7
GO_Biological_Process_2023	Cytidine To Uridine Editing (GO:0016554)	2/11	1.456151e-02	6.148641e-01	0	0	1.280417e+01	5.415362e+01	RBM47;APOBEC3B
GO_Biological_Process_2023	Intrinsic Apoptotic Signaling Pathway In Response To Oxidative Stress (GO:0008631)	2/11	1.456151e-02	6.148641e-01	0	0	1.280417e+01	5.415362e+01	PDCD10;CYP1B1
GO_Biological_Process_2023	Positive Regulation Of Protein Serine/Threonine Kinase Activity (GO:0071902)	6/117	1.556044e-02	6.148641e-01	0	0	3.135135e+00	1.305164e+01	TENM1;IFNG;PDCD10;PDGFC;SPDYA;TPD52L1
GO_Biological_Process_2023	Negative Regulation Of Epidermal Growth Factor-Activated Receptor Activity (GO:0007175)	2/12	1.727771e-02	6.148641e-01	0	0	1.152317e+01	4.676491e+01	ERRFI1;SOCS6
GO_Biological_Process_2023	Positive Regulation Of Neuron Migration (GO:2001224)	2/12	1.727771e-02	6.148641e-01	0	0	1.152317e+01	4.676491e+01	SHTN1;KIF20B
GO_Biological_Process_2023	Regulation Of Nitrogen Compound Metabolic Process (GO:0051171)	2/13	2.019029e-02	6.148641e-01	0	0	1.047507e+01	4.087954e+01	PM20D2;IFNG
GO_Biological_Process_2023	Positive Regulation Of MAP Kinase Activity (GO:0043406)	5/91	2.020966e-02	6.148641e-01	0	0	3.366417e+00	1.313439e+01	TENM1;PDCD10;PDGFC;TPD52L1;SASH1
GO_Biological_Process_2023	Fat Cell Differentiation (GO:0045444)	4/62	2.176140e-02	6.148641e-01	0	0	3.987183e+00	1.526141e+01	OSBPL8;EGR2;INHBB;SMAD6
GO_Biological_Process_2023	G1/S Transition Of Mitotic Cell Cycle (GO:0000082)	4/63	2.293228e-02	6.148641e-01	0	0	3.919404e+00	1.479657e+01	SPDYA;E2F3;BACH1;CDK14
