Gene,ML_score,DE_score,PPI_score,Stability_score,Robust_score
PTGDS,1.0,1.0,0.02941176470588228,1.0,0.7573529411764706
KIR2DL1,0.744988968577829,0.6521527441095503,0.352941176470588,0.62,0.5925207222894918
DGKK,0.7384347366870254,0.6964138817947281,0.11764705882352912,0.74,0.5731239193263207
KIR2DL3,0.6049881495076814,0.6964138817947281,0.2647058823529411,0.72,0.5715269784138377
LILRB1,0.5203897685046323,0.6964138817947281,0.23529411764705888,0.81,0.5655244419866048
KIAA0319L,0.5744993320913182,0.6964138817947281,0.02941176470588228,0.83,0.5325812446479822
PPP4C,0.4012510397709124,0.6964138817947281,0.14705882352941138,0.81,0.513680936273763
TYROBP,0.386809722562199,0.5405393158325598,0.8823529411764709,0.06,0.4674254948928074
MBOAT7,0.47037412277665064,0.6673346870987938,0.02941176470588228,0.69,0.46428014364533166
MMP9,0.3735627453300839,0.5221632503234429,0.7647058823529412,0.07,0.432607969501617
HLA-C,0.3850645405741227,0.5969041712497469,0.32352941176470573,0.37,0.4188745308971439
LRRC25,0.3838937078895227,0.6673346870987938,0.02941176470588228,0.56,0.4101600399235497
KIR3DL1,0.6093839061974089,0.5405393158325598,0.2647058823529411,0.2,0.40365727609572744
BCL2,0.3573339251175938,0.5090277938851295,0.647058823529412,0.05,0.3908551356330338
RHOG,0.25938849099401384,0.6050045092348837,0.352941176470588,0.31,0.38183354417487136
SPI1,0.2515064681378226,0.5361804574042738,0.7058823529411766,0.03,0.38089231962081826
IFITM3,0.44414420608365596,0.604783978307362,0.08823529411764683,0.36,0.3742908696271662
APOBR,0.3655385598861172,0.604783978307362,0.14705882352941138,0.34,0.3643453404307227
TNFAIP2,0.345176207247373,0.6199714288300896,0.0,0.46,0.35628690901936566
FAM102A,0.734645496352261,0.5221632503234429,0.02941176470588228,0.13,0.3540551278453965
LSP1,0.334227467795009,0.6199714288300896,0.11764705882352912,0.34,0.35296148886215695
ABHD2,0.34231372662013115,0.6162850363452593,0.0,0.45,0.3521496907413476
PLOD1,0.4081656333878671,0.5859691353715806,0.14705882352941138,0.26,0.3502983980722148
CXCL16,0.5040498358624046,0.5361804574042738,0.17647058823529366,0.15,0.34167522037549297
SH2B2,0.44216423686423106,0.5969041712497469,0.02941176470588228,0.28,0.3371200432049651
GPX3,0.4826975061088173,0.5405393158325598,0.2058823529411766,0.11,0.33477979372063843
TNFSF14,0.5369752260390885,0.5491664782021743,0.08823529411764683,0.15,0.3310942495897274
NCF1,0.34846910994003344,0.5329131545748903,0.44117647058823545,0.0,0.3306396837757898
IKBKG,0.350248983479389,0.5677974439640218,0.23529411764705888,0.16,0.3283351362726174
KIR3DL3,0.4599812430356553,0.5361804574042738,0.2058823529411766,0.11,0.32801101334527644
PTPN6,0.2873112158297468,0.5361804574042738,0.47058823529411775,0.01,0.32601997713203457
MYD88,0.36274633342257157,0.5129602383579229,0.352941176470588,0.05,0.31966193706277063
CHST15,0.653399480732934,0.5073887259454745,0.02941176470588228,0.07,0.31504999284607266
ADGRG3,0.3197816749736223,0.5969041712497469,0.0,0.34,0.3141714615558423
LAT2,0.6438332795772163,0.5199962594452855,0.02941176470588228,0.06,0.313310325932096
GNB2,0.46098128227800145,0.5361804574042738,0.2058823529411766,0.05,0.31326102315586296
ILK,0.3682997720367384,0.5566003240207453,0.17647058823529366,0.15,0.31284267107319436
LOC100130872,0.5324938328438434,0.5237575416563117,0.0,0.16,0.30406284362503877
SLC11A1,0.35989699327743074,0.5073887259454745,0.29411764705882343,0.05,0.3028508415704322
JARID2,0.4245247398884302,0.5076656495311362,0.17647058823529366,0.1,0.30216524441371506
PLIN3,0.3304574133186658,0.5856145150196415,0.08823529411764683,0.19,0.29857680561398847
PLAUR,0.42759475002008823,0.5361804574042738,0.14705882352941138,0.08,0.2977085077384434
PLEKHG3,0.4055351738261413,0.5407125416838816,0.08823529411764683,0.14,0.29362075240691743
TPD52L2,0.3648303571425245,0.5605409679482416,0.02941176470588228,0.19,0.28619577244916206
P2RX1,0.43520704358026563,0.5361804574042738,0.05882352941176456,0.11,0.285052757599076
FGR,0.22252737845043086,0.5129602383579229,0.38235294117647023,0.02,0.28446013949620597
CTSD,0.29115762584700305,0.5296798290730029,0.2647058823529411,0.04,0.28138583431823677
DGKH,0.4458796742741445,0.5271536906608364,0.08823529411764683,0.06,0.28031716476315693
TRAFD1,0.3219100401598571,0.5605409679482416,0.05882352941176456,0.17,0.27781863437996585
CST7,0.37038737176582487,0.5073887259454745,0.17647058823529366,0.05,0.2760616714866483
