stringId_A,stringId_B,preferredName_A,preferredName_B,ncbiTaxonId,score,nscore,fscore,pscore,ascore,escore,dscore,tscore
9606.ENSP00000003100,9606.ENSP00000242480,CYP51A1,EGR2,9606,0.755,0.0,0.0,0.0,0.056,0.041,0.75,0.046
9606.ENSP00000005178,9606.ENSP00000300055,PDK4,PLIN1,9606,0.421,0.0,0.0,0.0,0.085,0.07,0.0,0.374
9606.ENSP00000005178,9606.ENSP00000497642,PDK4,LPL,9606,0.539,0.0,0.0,0.0,0.106,0.0,0.0,0.506
9606.ENSP00000025008,9606.ENSP00000382204,RB1CC1,JMJD1C,9606,0.411,0.0,0.0,0.0,0.329,0.0,0.0,0.158
9606.ENSP00000025008,9606.ENSP00000363389,RB1CC1,PDIK1L,9606,0.414,0.0,0.0,0.0,0.081,0.261,0.0,0.207
9606.ENSP00000025008,9606.ENSP00000277554,RB1CC1,NACC2,9606,0.428,0.0,0.0,0.0,0.0,0.0,0.0,0.428
9606.ENSP00000025008,9606.ENSP00000296782,RB1CC1,RICTOR,9606,0.509,0.0,0.0,0.0,0.183,0.0,0.0,0.423
9606.ENSP00000025008,9606.ENSP00000381185,RB1CC1,BCL2,9606,0.529,0.0,0.0,0.0,0.0,0.0,0.0,0.529
9606.ENSP00000025008,9606.ENSP00000351742,RB1CC1,TFEB,9606,0.588,0.0,0.0,0.0,0.0,0.0,0.0,0.588
9606.ENSP00000025008,9606.ENSP00000432412,RB1CC1,ATG13,9606,0.999,0.0,0.0,0.0,0.049,0.859,0.8,0.998
9606.ENSP00000053867,9606.ENSP00000351742,GRN,TFEB,9606,0.42,0.0,0.0,0.0,0.072,0.0,0.0,0.401
9606.ENSP00000053867,9606.ENSP00000352282,GRN,KLHDC1,9606,0.439,0.0,0.0,0.0,0.0,0.439,0.0,0.0
9606.ENSP00000053867,9606.ENSP00000262629,GRN,TYROBP,9606,0.497,0.0,0.0,0.0,0.26,0.0,0.0,0.348
9606.ENSP00000053867,9606.ENSP00000361405,GRN,MMP9,9606,0.585,0.0,0.0,0.0,0.102,0.0,0.0,0.557
9606.ENSP00000053867,9606.ENSP00000236671,GRN,CTSD,9606,0.866,0.0,0.0,0.0,0.64,0.292,0.0,0.517
9606.ENSP00000155093,9606.ENSP00000342812,ZFY,USP9Y,9606,0.999,0.0,0.0,0.0,0.999,0.0,0.0,0.876
9606.ENSP00000196061,9606.ENSP00000264808,PLOD1,PRDM5,9606,0.458,0.0,0.0,0.0,0.0,0.0,0.0,0.458
9606.ENSP00000196061,9606.ENSP00000319713,PLOD1,AGTRAP,9606,0.477,0.0,0.0,0.0,0.108,0.0,0.0,0.437
9606.ENSP00000196061,9606.ENSP00000361405,PLOD1,MMP9,9606,0.501,0.0,0.0,0.0,0.049,0.0,0.0,0.497
9606.ENSP00000196061,9606.ENSP00000497653,PLOD1,COL17A1,9606,0.574,0.0,0.0,0.0,0.066,0.071,0.5,0.135
9606.ENSP00000196061,9606.ENSP00000375069,PLOD1,COL23A1,9606,0.766,0.0,0.0,0.0,0.077,0.472,0.5,0.155
9606.ENSP00000198536,9606.ENSP00000363117,PILRA,FGR,9606,0.402,0.0,0.0,0.0,0.346,0.0,0.0,0.124
9606.ENSP00000198536,9606.ENSP00000318406,PILRA,KIAA0319L,9606,0.433,0.0,0.0,0.0,0.06,0.422,0.0,0.0
9606.ENSP00000198536,9606.ENSP00000216286,PILRA,NID2,9606,0.495,0.0,0.0,0.0,0.0,0.495,0.0,0.0
9606.ENSP00000198536,9606.ENSP00000227163,PILRA,SPI1,9606,0.526,0.0,0.0,0.0,0.349,0.0,0.0,0.302
9606.ENSP00000198536,9606.ENSP00000262629,PILRA,TYROBP,9606,0.528,0.0,0.0,0.0,0.349,0.0,0.0,0.305
9606.ENSP00000198536,9606.ENSP00000315997,PILRA,LILRB1,9606,0.708,0.0,0.0,0.0,0.162,0.0,0.0,0.666
9606.ENSP00000198536,9606.ENSP00000391592,PILRA,PTPN6,9606,0.796,0.0,0.0,0.0,0.125,0.6,0.0,0.464
9606.ENSP00000198536,9606.ENSP00000383115,PILRA,COLEC12,9606,0.829,0.0,0.0,0.0,0.045,0.405,0.5,0.472
9606.ENSP00000202816,9606.ENSP00000335557,ESF1,SLX4IP,9606,0.478,0.0,0.0,0.0,0.073,0.0,0.0,0.46
9606.ENSP00000217121,9606.ENSP00000306285,TPD52L2,TPD52L1,9606,0.849,0.0,0.0,0.0,0.0,0.712,0.0,0.498
9606.ENSP00000221957,9606.ENSP00000339328,PLIN3,PLAUR,9606,0.428,0.0,0.0,0.0,0.108,0.0,0.0,0.385
9606.ENSP00000221957,9606.ENSP00000300055,PLIN3,PLIN1,9606,0.496,0.0,0.0,0.0,0.0,0.0,0.0,0.496
9606.ENSP00000221957,9606.ENSP00000349124,PLIN3,PPP4R2,9606,0.605,0.0,0.0,0.0,0.044,0.604,0.0,0.0
9606.ENSP00000222120,9606.ENSP00000355511,RAB3D,CHML,9606,0.611,0.0,0.0,0.0,0.0,0.048,0.5,0.249
9606.ENSP00000225538,9606.ENSP00000227163,P2RX1,SPI1,9606,0.418,0.0,0.0,0.0,0.418,0.0,0.0,0.0
9606.ENSP00000225538,9606.ENSP00000356205,P2RX1,ADORA1,9606,0.451,0.0,0.0,0.0,0.0,0.0,0.0,0.451
9606.ENSP00000227163,9606.ENSP00000267953,SPI1,BCL2A1,9606,0.419,0.0,0.0,0.0,0.319,0.0,0.0,0.181
