Gene,PD_mean,CC_mean,Difference
ENSG00000012817,8.059072329513304,4.520268090025923,3.538804239487381
ENSG00000129824,8.941288189021984,5.688964618147464,3.2523235708745197
ENSG00000131002,6.50099248801115,3.308813139482473,3.192179348528677
ENSG00000099725,7.133678530220185,4.034219954563488,3.099458575656697
ENSG00000067048,6.887434058259693,3.901839511077718,2.9855945471819747
ENSG00000114374,5.736495340180107,2.856306380603608,2.8801889595764987
ENSG00000183878,6.315943031623193,3.6730331562559684,2.6429098753672244
ENSG00000198692,5.183309515656865,2.799081577145383,2.384227938511482
ENSG00000215580,4.4899131948483,2.1242622639561146,2.365650930892185
ENSG00000168903,5.893818263890322,3.5524544985979256,2.341363765292396
ENSG00000179750,6.605717233679095,4.364004954104884,2.2417122795742106
ENSG00000229807,2.6464675005325633,4.873719696998193,-2.2272521964656296
ENSG00000067646,4.3575060192304695,2.1372314833256096,2.22027453590486
ENSG00000250771,4.587012910338643,2.3668112159023407,2.2202016944363026
ENSG00000133739,3.7495552383335355,1.7029915359453456,2.04656370238819
ENSG00000213058,3.5656777337339136,1.6006647688106856,1.965012964923228
ENSG00000134184,4.802150527443874,2.893963567169359,1.9081869602745147
ENSG00000260197,3.89240175262729,1.9942121606539185,1.8981895919733713
ENSG00000112139,7.916122410084977,6.024206983426916,1.891915426658061
ENSG00000233864,3.8182191076175633,1.9605985403070172,1.8576205673105461
ENSG00000133138,3.671756939222677,1.8324623624041847,1.8392945768184925
ENSG00000253239,0.8129072918469556,2.6287348835814432,-1.8158275917344877
ENSG00000215533,3.78315547947726,1.9681793307417033,1.8149761487355567
ENSG00000196074,4.996647203631105,3.1834174240600617,1.8132297795710435
ENSG00000129295,7.115700614662818,5.3216456462219,1.7940549684409177
ENSG00000239528,3.5970746258598054,1.8130596108563144,1.784015015003491
ENSG00000243806,2.466896130183836,0.6830173160157909,1.783878814168045
ENSG00000258831,3.554647212410386,1.7969559520687692,1.7576912603416166
