Gene,Train_mean,External_mean,Mean_difference,Train_std,External_std,Standardized_shift,Absolute_shift
KIR2DL1,6.4722260273972605,0.43911219194305445,-6.033113835454206,0.45490213855256517,0.3498979217384452,-14.866821135513435,14.866821135513435
KIR2DL3,5.096655251141552,1.0092213635733989,-4.087433887568153,0.47308024907639495,0.6090625896801153,-7.495387220920638,7.495387220920638
KIR3DL1,5.745123287671234,1.542558908148344,-4.20256437952289,0.4838382848737092,0.8327888494283318,-6.17078477475264,6.17078477475264
RHOG,11.083995433789957,8.537391300455802,-2.5466041333341547,0.4628818937659541,0.5107483092420113,-5.224842332554173,5.224842332554173
TYROBP,11.561808219178083,9.721494289206994,-1.8403139299710887,0.4104039197225032,0.4594113534609218,-4.224804786050122,4.224804786050122
MMP9,9.469166666666666,6.021662220677947,-3.447504445988719,0.8792957719325848,0.7628807096434321,-4.188190848002869,4.188190848002869
PPP4C,8.777413242009132,6.965523302895854,-1.8118899391132777,0.39812263730194625,0.46548105207225693,-4.183408776440197,4.183408776440197
LILRB1,7.404930365296803,5.303980548714114,-2.1009498165826885,0.4170378479829013,0.6231036226757743,-3.9627209115801025,3.9627209115801025
PTGDS,6.700253424657535,4.903989863677226,-1.796263560980309,0.615481311501593,0.9187649993817352,-2.2971076691934593,2.2971076691934593
KIAA0319L,7.345498858447489,6.567606797456634,-0.7778920609908555,0.3733942608371931,0.5105080865857959,-1.739328692386294,1.739328692386294
HLA-C,12.806018835616438,12.231963111414302,-0.574055724202136,0.22766369325059096,0.46095388102467655,-1.5791117993880748,1.5791117993880748
BCL2,5.207706621004566,4.442024248326554,-0.765682372678012,0.2259452863581311,0.7354122301556141,-1.4074919712155047,1.4074919712155047
LRRC25,8.444212328767122,7.795850174710092,-0.6483621540570299,0.5557296382107659,0.5158416781542178,-1.209277294721535,1.209277294721535
MBOAT7,8.661108447488584,8.84141154404034,0.18030309655175714,0.36527668770175065,0.5775155776019957,0.3731490913398501,0.3731490913398501
